17:00:00.000,126 26.0/32,126 25.0/32,2328
17:15:00.000,126 25.5/32,126 24.5/32,549
17:30:00.000,126 25.5/32,126 24.0/32,1486
17:45:00.000,126 26.5/32,126 24.5/32,2616
18:00:00.000,126 25.0/32,126 24.0/32,1178
18:15:00.000,126 24.5/32,126 24.5/32,335
18:30:00.000,126 25.0/32,126 24.0/32,223
18:45:00.000,126 25.0/32,126 24.0/32,816
19:00:00.000,126 25.0/32,126 24.0/32,917
19:15:00.000,126 24.5/32,126 24.0/32,2061
19:30:00.000,null,null,0
19:45:00.000,null,null,0
20:00:00.000,null,null,0
20:15:00.000,null,null,0
20:30:00.000,null,null,0
20:45:00.000,null,null,0
21:00:00.000,null,null,0
21:15:00.000,null,null,0
21:30:00.000,null,null,0
21:45:00.000,null,null,0
22:00:00.000,null,null,0
22:15:00.000,null,null,0
22:30:00.000,null,null,0
22:45:00.000,null,null,0
23:00:00.000,null,null,0
23:15:00.000,null,null,0
23:30:00.000,null,null,0
23:45:00.000,null,null,0
